,id,original_title,popularity,vote_average,vote_count
425,1402,The Pursuit of Happyness,43.272,7.902,9247
426,313369,La La Land,39.713,7.901,15741
427,505262,僕のヒーローアカデミア THE MOVIE ～2人の英雄～,34.743,7.9,928
428,3034,Young Frankenstein,25.679,7.9,2916
429,597,Titanic,116.992,7.899,23867
430,60243,جدایی نادر از سیمین,25.381,7.899,1586
431,7984,In the Name of the Father,15.813,7.897,1601
432,752,V for Vendetta,46.292,7.897,13684
433,13398,東京ゴッドファーザーズ,25.5,7.895,1085
434,726684,"Miraculous World : Shanghai, la légende de Ladydragon",39.339,7.9,592
435,331482,Little Women,39.05,7.9,5781
436,1892,Return of the Jedi,44.725,7.893,14711
437,210577,Gone Girl,103.441,7.892,17546
438,32085,Vincent,18.823,7.891,800
439,715931,Emancipation,42.91,7.884,970
440,527774,Raya and the Last Dragon,80.604,7.887,6341
441,503314,ドラゴンボール超スーパー ブロリー,13.75,7.887,2739
442,354857,Regular Show: The Movie,14.848,7.887,340
443,3112,The Night of the Hunter,18.415,7.887,1431
444,25538,一一,21.64,7.9,470
445,827,Les Diaboliques,20.654,7.885,862
446,712454,Le Sommet des dieux,10.444,7.9,300
447,11036,The Notebook,62.563,7.883,10731
448,435129,The Breadwinner,13.42,7.882,763
449,2721,Z,17.049,7.882,461
450,48035,Ordet,14.925,7.881,323
451,3083,Mr. Smith Goes to Washington,14.179,7.881,946
452,662,La Jetée,15.976,7.881,809
453,198,To Be or Not to Be,11.944,7.88,635
454,804,Roman Holiday,32.029,7.88,1853
455,594634,Dem Horizont so nah,19.335,7.878,454
456,393,Kill Bill: Vol. 2,42.465,7.878,13024
457,1394,Ностальгия,14.353,7.878,470
458,523781,Words on Bathroom Walls,20.453,7.88,529
459,369557,Sing Street,27.465,7.876,2132
460,3870,Novecento,22.75,7.874,566
461,665,Ben-Hur,43.088,7.874,2493
462,833,Umberto D.,12.24,7.873,604
463,94047,마이웨이,23.347,7.871,354
464,3078,It Happened One Night,22.161,7.872,1105
465,29455,Nattvardsgästerna,13.825,7.87,399
466,24238,Mary and Max,20.591,7.87,1794
467,652722,En brazos de un asesino,20.978,7.869,383
468,275,Fargo,55.224,7.869,7378
469,16,Dancer in the Dark,21.693,7.869,1644
470,381341,Perfetti sconosciuti,17.588,7.868,4170
471,265195,Relatos salvajes,24.576,7.867,3116
472,11830,タンポポ,15.415,7.874,301
473,530254,마녀,30.685,7.9,452
474,505192,万引き家族,18.286,7.865,1861
475,379170,Sherlock: The Abominable Bride,24.666,7.865,2158
476,180147,Nosotros los nobles,18.858,7.867,467
477,24167,La ciociara,13.713,7.863,483
478,430424,Au revoir là-haut,17.429,7.862,1189
479,152601,Her,39.526,7.861,13518
480,14836,Coraline,117.661,7.861,7148
481,266856,The Theory of Everything,23.326,7.858,10132
482,2440,공동경비구역 JSA,17.151,7.86,616
483,632322,All My Life,18.022,7.857,447
484,508943,Luca,88.781,7.856,7731
485,777,La Grande Illusion,14.438,7.858,618
486,25364,Ace in the Hole,15.202,7.855,598
487,399174,Isle of Dogs,23.107,7.854,4500
488,11293,Paper Moon,21.299,7.854,641
489,453,A Beautiful Mind,107.45,7.854,9561
490,235,Stand by Me,36.584,7.853,5386
491,14574,The Boy in the Striped Pyjamas,85.698,7.852,6609
492,1607,A Bronx Tale,45.139,7.852,2189
493,613,Der Untergang,23.84,7.852,3511
494,579245,Hors Normes,20.278,7.851,831
495,16804,おくりびと,15.924,7.851,756
496,185789,Mulholland Dr.,11.528,7.85,440
497,32480,Il marchese del Grillo,9.305,7.855,423
498,89,Indiana Jones and the Last Crusade,69.754,7.85,9416
499,398924,Un sac de billes,14.88,7.848,792
500,16859,魔女の宅急便,57.916,7.848,3633
501,113,봄 여름 가을 겨울 그리고 봄,24.784,7.849,967
502,631,Sunrise: A Song of Two Humans,13.742,7.847,728
503,581,Dances with Wolves,46.931,7.847,3884
504,650031,Skyggen i mit øje,20.106,7.8,429
505,391,Per un pugno di dollari,36.887,7.846,3826
506,546554,Knives Out,63.204,7.845,11313
507,593,Солярис,28.729,7.844,1446
508,556901,Teen Titans Go! vs. Teen Titans,23.826,7.843,440
509,1675,La Nuit américaine,12.646,7.843,555
510,33320,千年女優,23.643,7.842,720
511,93,Anatomy of a Murder,15.336,7.842,870
512,293299,Feast,9.665,7.841,814
513,83564,La luna,10.886,7.841,748
514,59440,Warrior,35.954,7.84,4221
515,9479,The Nightmare Before Christmas,92.903,7.841,8708
516,115,The Big Lebowski,51.205,7.841,10492
517,5924,Papillon,29.085,7.84,1735
518,200727,"Love, Rosie",31.716,7.839,5954
519,22596,Safety Last!,14.082,7.839,444
520,698508,Redeeming Love,42.2,7.839,307
521,585511,Luck,117.569,7.838,1481
522,585,"Monsters, Inc.",124.405,7.837,17356
523,573164,Un rescate de huevitos,21.636,7.8,366
524,301,Rio Bravo,34.573,7.835,1034
525,152742,La migliore offerta,19.548,7.834,2678
526,6075,Carlito's Way,34.261,7.8,2893
527,5511,Le Samouraï,22.017,7.8,915
528,968,Dog Day Afternoon,22.11,7.834,2709
529,11049,Interstella 5555,13.618,7.831,370
530,826,The Bridge on the River Kwai,20.056,7.832,1891
531,843906,Straight Outta Nowhere: Scooby-Doo! Meets Courage the Cowardly Dog,26.75,7.83,358
532,31011,Mr. Nobody,33.622,7.829,5557
533,52629,El Infierno,35.023,7.828,591
534,934,Du rififi chez les hommes,16.198,7.831,499
535,901563,Close,30.735,7.823,529
536,10775,無間道,21.389,7.828,1468
537,1018,Mulholland Drive,43.828,7.827,5730
538,71157,Polisse,16.233,7.8,1127
539,22843,ヱヴァンゲリヲン新劇場版：破,29.569,7.825,775
540,80,Before Sunset,26.305,7.824,3115
541,12,Finding Nemo,101.763,7.825,18215
542,126319,Ernest et Célestine,10.654,7.8,553
543,545611,Everything Everywhere All at Once,78.47,7.821,5386
544,11656,Jungfrukällan,16.049,7.8,554
545,10774,Network,19.436,7.822,1540
546,915935,Anatomie d'une chute,42.142,7.825,342
547,136,Freaks,27.338,7.821,1078
548,359156,Non essere cattivo,10.122,7.82,916
549,47931,Tropa de Elite 2,29.255,7.82,1730
550,596,The Grapes of Wrath,17.118,7.82,884
551,502,Fail Safe,16.25,7.82,334
552,56231,La classe operaia va in paradiso,9.119,7.819,312
553,805,Rosemary's Baby,38.309,7.819,3586
